full_address,estimate_date,estimate_value,estimate_range,link
"26 Middleton Road, Johnsonville, Wellington",7/09/2003,$1M,$935K - $1.07M,https://www.homes.co.nz/address/wellington/johnsonville/26-middleton-road/W4Rzx
"17 Tolhurst Street, Johnsonville, Wellington",1/01/1970,$1.2M,$1.11M - $1.28M,https://www.homes.co.nz/address/wellington/johnsonville/17-tolhurst-street/K0WjW
"21 Earp Street, Johnsonville, Wellington",10/06/2006,$1.21M,$1.13M - $1.3M,https://www.homes.co.nz/address/wellington/johnsonville/21-earp-street/nL5Eg
"3 Malaghan Grove, Johnsonville, Wellington",16/02/2012,$995K,$930K - $1.07M,https://www.homes.co.nz/address/wellington/johnsonville/3-malaghan-grove/9Yw5A
"4 Stonefield Place, Johnsonville, Wellington",1/01/1970,$800K,$755K - $845K,https://www.homes.co.nz/address/wellington/johnsonville/4-stonefield-place/E0kjx
"8 Saville Row, Johnsonville, Wellington",17/04/1998,$910K,$850K - $975K,https://www.homes.co.nz/address/wellington/johnsonville/8-saville-row/2ExB7
"22A Frankmoore Avenue, Johnsonville, Wellington",20/04/2018,$740K,$700K - $785K,https://www.homes.co.nz/address/wellington/johnsonville/22a-frankmoore-avenue/15j5q
"140 Ironside Road, Johnsonville, Wellington",18/08/2009,$1.51M,$1.4M - $1.61M,https://www.homes.co.nz/address/wellington/johnsonville/140-ironside-road/RO7vg
"144 Broderick Road, Johnsonville, Wellington",25/08/2006,$980K,$915K - $1.05M,https://www.homes.co.nz/address/wellington/johnsonville/144-broderick-road/jDRYz
"30 Prospect Terrace, Johnsonville, Wellington",15/06/2003,$1.02M,$950K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/30-prospect-terrace/GkZaX
"33 Prospect Terrace, Johnsonville, Wellington",1/01/1970,$770K,$720K - $825K,https://www.homes.co.nz/address/wellington/johnsonville/33-prospect-terrace/nLnoN
"38 Burgess Road, Johnsonville, Wellington",20/11/2008,$945K,$880K - $1.01M,https://www.homes.co.nz/address/wellington/johnsonville/38-burgess-road/kk7Dw
"6 Chesterton Street, Johnsonville, Wellington",18/11/2017,$1.2M,$1.12M - $1.29M,https://www.homes.co.nz/address/wellington/johnsonville/6-chesterton-street/LwaRk
"9 Rotoiti Street, Johnsonville, Wellington",27/03/2006,$1.09M,$1.01M - $1.16M,https://www.homes.co.nz/address/wellington/johnsonville/9-rotoiti-street/0rPLQ
"39 Prospect Terrace, Johnsonville, Wellington",25/11/2014,$1.02M,$950K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/39-prospect-terrace/4EQOM
"14 Sim Street, Johnsonville, Wellington",6/05/2008,$1.33M,$1.24M - $1.42M,https://www.homes.co.nz/address/wellington/johnsonville/14-sim-street/DLQEr
"25 Stephen Street, Johnsonville, Wellington",1/01/1970,$740K,$700K - $780K,https://www.homes.co.nz/address/wellington/johnsonville/25-stephen-street/Y2vrn
"35A Broderick Road, Johnsonville, Wellington",1/01/1970,$890K,$825K - $950K,https://www.homes.co.nz/address/wellington/johnsonville/35a-broderick-road/9YM17
